"filename", "language", "HTML", "TypeScript", "JSON", "JSON with Comments", "Markdown", "TypeScript JSX", "CSS", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Holder_Buttons_Prep_Destinations.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 0, 8, 31, 107
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Holder_Buttons_Selection_Multi.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 26, 94
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Holder_Buttons_Selection_Results.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 0, 8, 43, 108
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Holder_Buttons_Selection_Single.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 30, 97
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Holder_Objects_PageSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 0, 5, 16, 77
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Holder_PageItems.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 8, 14, 66
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_ArrowDown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 81, 0, 0, 0, 1, 66, 148
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_ArrowUp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 0, 1, 25, 71
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_ArrowUpAndDown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 75, 0, 0, 0, 10, 47, 132
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_Confirm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 116, 0, 0, 0, 5, 53, 174
